CSDUID,Unnamed: 0,Geography,Unnamed: 2,graph2_cwbwiz,graph2_education,graph2_housing,graph2_income,graph2_jobs,graph_cwb,graph_education,graph_housing,graph_income,graph_jobs,year,lat,lon,pop,log_std
1313041,442,Saint-François ,P,3,4,3,2,1,3,4,3,2,1,2006,47.27189295985369,-68.85941518866464,630.0,19.44734122734374
1313042,443,Saint-François de Madawaska ,VL,2,3,1,2,1,2,4,1,3,1,2006,47.25163411534367,-68.71397977372945,533.0,16.588702888501096
1314001,444,Durham ,P,4,4,3,4,4,4,4,3,4,4,2006,47.76328314691997,-66.08490182528246,1207.0,30.56354010345687
1314004,445,Charlo ,VL,1,1,1,2,3,1,1,1,1,3,2006,47.986202159099676,-66.3155845930544,1324.0,32.145372473703894
1314005,446,Balmoral ,P,4,4,4,4,3,4,4,4,4,4,2006,47.714403806539416,-66.51377921973031,602.0,18.670058135961014
1314006,447,Balmoral ,VL,2,3,3,2,2,2,3,3,2,2,2006,47.96341889435569,-66.4792918289391,1719.0,36.609221294521824
1314008,448,Dalhousie ,P,2,2,3,2,2,2,1,4,2,2,2006,48.033671617788606,-66.50332057483936,2247.0,41.18878449343609
1314011,449,Eel River Crossing ,VL,3,3,3,2,3,4,4,4,2,3,2006,47.995820593644844,-66.48487501392081,1209.0,30.591846870437152
1314012,450,Addington ,P,3,4,2,3,3,4,4,2,3,4,2006,47.680634946306164,-66.7729353172529,2615.0,43.78189704814042
1314013,451,Atholville ,VL,3,3,3,3,2,3,3,3,3,1,2006,47.93462685517359,-66.71226338742034,1237.0,30.983298093730955
1314014,452,Campbellton ,CY,4,2,4,4,3,4,2,4,4,3,2006,47.99897614305064,-66.65227958848587,7385.0,61.53207125435194
1314015,453,Tide Head ,VL,1,1,1,1,1,1,1,1,1,1,2006,47.980469605014775,-66.77671922578665,1036.0,27.951574477593994
1314016,454,Eldon ,P,4,4,1,4,4,4,4,1,4,4,2006,47.669279010757165,-67.06446529204375,698.0,21.199800518473445
1314017,455,Dalhousie ,T,3,2,2,4,3,3,2,2,4,4,2006,48.05116458376206,-66.39176543210718,3512.0,48.8242548377984
1314018,456,Grimmer ,P,4,4,2,4,4,4,4,2,4,4,2006,,,1096.0,28.91415229428705
1314019,457,Kedgwick ,VL,4,3,3,4,3,4,4,4,4,4,2006,,,993.0,27.226790566098934
1314021,458,Saint-Quentin ,P,3,3,3,3,3,4,4,3,4,3,2006,47.76505305781317,-67.81576824386798,1489.0,34.15340217537951
1314022,459,Saint-Quentin ,TV,3,3,3,3,3,4,3,4,4,3,2006,47.509820559133615,-67.38929710518269,2095.0,39.99124905310857
1314025,460,Belledune ,VL,4,3,3,4,4,4,4,3,4,4,2006,47.872698157048134,-65.95702756158906,1548.0,34.81778587610622
1315001,461,Saumarez ,P,4,4,4,3,4,4,4,4,3,4,2006,,,6920.0,60.42014692939184
1315003,462,Tracadie-Sheila ,TV,3,2,4,3,3,3,2,4,4,3,2006,,,4933.0,54.63325597932231
1315006,463,Allardville ,P,4,4,2,3,4,4,4,2,4,4,2006,47.431864477268746,-65.43847770296684,2081.0,39.87661166629826
1315008,464,Bathurst ,P,2,2,2,2,2,1,2,1,1,1,2006,47.4785358177894,-65.79746248314406,4979.0,54.79194861055889
1315011,465,Bathurst ,CY,3,2,3,4,3,3,2,3,4,3,2006,47.62348971235389,-65.632278373139,12275.0,70.21943614405569
1315012,466,Beresford ,P,3,3,3,2,2,3,3,3,3,2,2006,47.71796702043257,-65.87968079139671,6354.0,58.961214646757675
1315013,467,Pointe-Verte ,VL,3,4,3,2,3,4,4,2,3,4,2006,47.8512669851626,-65.77496885254301,976.0,26.931553349902547
1315014,468,Petit Rocher ,VL,3,2,3,3,2,3,2,3,4,2,2006,47.7851034341477,-65.7238504674568,1908.0,38.392687590386934
1315015,469,Beresford ,TV,2,2,3,3,2,2,2,3,3,2,2006,47.69935876411213,-65.7050472936604,4351.0,52.48683535530766
1315016,470,New Bandon ,P,3,3,1,3,3,3,4,1,3,3,2006,47.69118430825103,-65.2898458358652,1195.0,30.392708207440638
1315017,471,Saint-Léolin ,VL,4,4,3,4,4,4,4,3,4,4,2006,47.759349485521206,-65.16886123852376,488.0,15.080619600177942
1315019,472,Paquetville ,P,4,4,3,4,4,4,4,4,4,4,2006,47.633244306587855,-65.1803547695055,2700.0,44.328799399779086
1315020,473,Paquetville ,VL,3,3,2,3,2,3,3,2,3,2,2006,47.66889098012657,-65.10694890879823,706.0,21.394643463069094
1315021,474,Saint-Isidore ,P,4,4,2,4,4,4,4,2,4,4,2006,47.5492317906141,-65.10494028957395,1620.0,35.59506896748893
